category,demangled_name,mangled_name,kind,module_or_source,address_or_rva,notes
frontend_gui,CButtonObserverGlue<CInGameIdler>::OnOver,,GPROC32,eu3idler.obj,0x008E9FE0,pdb=ck2game.pdb (2.6.1.1; EXE-matched);len=18
frontend_gui,CButtonObserverGlue<CInGameIdler>::OnDrag,,GPROC32,eu3idler.obj,0x004A9460,pdb=ck2game.pdb (2.6.1.1; EXE-matched);len=18
frontend_gui,CButtonObserverGlue<CInGameIdler>::OnUp,,GPROC32,eu3idler.obj,0x009887E0,pdb=ck2game.pdb (2.6.1.1; EXE-matched);len=18
frontend_gui,CButtonObserverGlue<CInGameIdler>::OnDown,,GPROC32,eu3idler.obj,0x00770250,pdb=ck2game.pdb (2.6.1.1; EXE-matched);len=18
frontend_gui,CButtonObserverGlue<CInGameIdler>::OnClick,,GPROC32,eu3idler.obj,0x00770230,pdb=ck2game.pdb (2.6.1.1; EXE-matched);len=18
frontend_gui,CInGameIdler::AddEventInWindow,,GPROC32,eu3idler.obj,0x008871B0,pdb=ck2game.pdb (2.6.1.1; EXE-matched);len=133
save_load,CInGameIdler::IronmanSave,,GPROC32,eu3idler.obj,0x00887150,pdb=ck2game.pdb (2.6.1.1; EXE-matched);len=43
frontend_gui,CInGameIdler::GetGui,,GPROC32,eu3idler.obj,0x00857350,pdb=ck2game.pdb (2.6.1.1; EXE-matched);len=7
frontend_gui,CInGameIdler::GetDisplayWindow,,GPROC32,eu3idler.obj,0x00853000,pdb=ck2game.pdb (2.6.1.1; EXE-matched);len=7
frontend_gui,CInGameIdler::SetShowingMainMenuConfirm,,GPROC32,eu3idler.obj,0x00842560,pdb=ck2game.pdb (2.6.1.1; EXE-matched);len=16
save_load,CInGameIdler::IronmanSaveDailyTick,,GPROC32,eu3idler.obj,0x00842510,pdb=ck2game.pdb (2.6.1.1; EXE-matched);len=18
frontend_gui,CEU3Idler::SetShowingMainMenuConfirm,,GPROC32,eu3idler.obj,0x00B384F0,pdb=ck2game.pdb (2.6.1.1; EXE-matched);len=3
save_load,CEU3Idler::IronmanSaveDailyTick,,GPROC32,eu3idler.obj,0x00DAD8C0,pdb=ck2game.pdb (2.6.1.1; EXE-matched);len=1
save_load,CEU3Idler::IronmanSave,,GPROC32,eu3idler.obj,0x00B384F0,pdb=ck2game.pdb (2.6.1.1; EXE-matched);len=3
save_load,TSavegameItem<CInGameIdler>::OnSelect,,GPROC32,eu3idler.obj,0x00DAD8C0,pdb=ck2game.pdb (2.6.1.1; EXE-matched);len=1
frontend_gui,CButtonObserverGlue<CInGameIdler>::~CButtonObserverGlue<CInGameIdler>,,GPROC32,eu3idler.obj,0x00974BE0,pdb=ck2game.pdb (2.6.1.1; EXE-matched);len=7
frontend_gui,CButtonObserverGlue<CInGameIdler>::CButtonObserverGlue<CInGameIdler>,,GPROC32,eu3idler.obj,0x009DBE60,pdb=ck2game.pdb (2.6.1.1; EXE-matched);len=124
frontend_gui,CArray<TButton *>::~CArray<TButton *>,,GPROC32,eu3idler.obj,0x0048F3E0,pdb=ck2game.pdb (2.6.1.1; EXE-matched);len=36
frontend_gui,CArray<CFixedWindow *>::~CArray<CFixedWindow *>,,GPROC32,eu3idler.obj,0x0048F3E0,pdb=ck2game.pdb (2.6.1.1; EXE-matched);len=36
frontend_gui,CInGameIdler::RemoveEventInWindow,,GPROC32,eu3idler.obj,0x00887240,pdb=ck2game.pdb (2.6.1.1; EXE-matched);len=103
frontend_gui,CButtonObserverGlue<CInGameIdler>::`scalar deleting destructor',,GPROC32,eu3idler.obj,0x009603B0,pdb=ck2game.pdb (2.6.1.1; EXE-matched);len=34
frontend_gui,CInGameIdler::NextSongButton,,GPROC32,eu3idler.obj,0x00895880,pdb=ck2game.pdb (2.6.1.1; EXE-matched);len=42
frontend_gui,CInGameIdler::SetViewStateButton,,GPROC32,eu3idler.obj,0x00876E60,pdb=ck2game.pdb (2.6.1.1; EXE-matched);len=928
frontend_gui,CInGameIdler::UpdateTopLeftButtons,,GPROC32,eu3idler.obj,0x008722A0,pdb=ck2game.pdb (2.6.1.1; EXE-matched);len=992
frontend_gui,CInGameIdler::SelectMapModeButton,,GPROC32,eu3idler.obj,0x00865AB0,pdb=ck2game.pdb (2.6.1.1; EXE-matched);len=3207
frontend_gui,CInGameIdler::EnableTopBarButtons,,GPROC32,eu3idler.obj,0x00865710,pdb=ck2game.pdb (2.6.1.1; EXE-matched);len=919
frontend_gui,CInGameIdler::DisableTopBarButtons,,GPROC32,eu3idler.obj,0x00865370,pdb=ck2game.pdb (2.6.1.1; EXE-matched);len=919
frontend_gui,CInGameIdler::GotoButton,,GPROC32,eu3idler.obj,0x008530E0,pdb=ck2game.pdb (2.6.1.1; EXE-matched);len=85
save_load,TSavegameItem<CInGameIdler>::`scalar deleting destructor',,GPROC32,eu3idler.obj,0x00ACA010,pdb=ck2game.pdb (2.6.1.1; EXE-matched);len=53
save_load,CInGameIdler::SaveGameSelect,,GPROC32,eu3idler.obj,0x00883240,pdb=ck2game.pdb (2.6.1.1; EXE-matched);len=745
frontend_gui,CInGameIdler::ChangeButtonSpriteToMode,,GPROC32,eu3idler.obj,0x0087B960,pdb=ck2game.pdb (2.6.1.1; EXE-matched);len=484
save_load,CMultiplayerHandler::Continue,,GPROC32,eu3idler.obj,0x00847FD0,pdb=ck2game.pdb (2.6.1.1; EXE-matched);len=151
save_load,CInGameIdler::HandleCloudAutosave,,GPROC32,eu3idler.obj,0x00861BA0,pdb=ck2game.pdb (2.6.1.1; EXE-matched);len=1380
save_load,CInGameIdler::DoIronmanSave,,GPROC32,eu3idler.obj,0x00883EE0,pdb=ck2game.pdb (2.6.1.1; EXE-matched);len=620
save_load,CInGameIdler::SaveGame,,GPROC32,eu3idler.obj,0x00884150,pdb=ck2game.pdb (2.6.1.1; EXE-matched);len=1556
save_load,CInGameIdler::HandleIronmanSave,,GPROC32,eu3idler.obj,0x00862110,pdb=ck2game.pdb (2.6.1.1; EXE-matched);len=1064
frontend_gui,CInGameIdler::HomeButton,,GPROC32,eu3idler.obj,0x00853010,pdb=ck2game.pdb (2.6.1.1; EXE-matched);len=204
frontend_gui,CInGameIdler::OpenSaveWindow,,GPROC32,eu3idler.obj,0x0087E3E0,pdb=ck2game.pdb (2.6.1.1; EXE-matched);len=8234
frontend_gui,CInGameIdler::UpdateEpidemicsButton,,GPROC32,eu3idler.obj,0x00858390,pdb=ck2game.pdb (2.6.1.1; EXE-matched);len=595
frontend_gui,CInGameIdler::OpenInteractWindowWithChar,,GPROC32,eu3idler.obj,0x00854410,pdb=ck2game.pdb (2.6.1.1; EXE-matched);len=1015
save_load,CInGameIdler::DoCloudSave,,GPROC32,eu3idler.obj,0x00883740,pdb=ck2game.pdb (2.6.1.1; EXE-matched);len=726
precursor,CInGameIdler::ViewFeatures,,GPROC32,eu3idler.obj,0x008779B0,pdb=ck2game.pdb (2.6.1.1; EXE-matched);len=341
frontend_gui,CButton::SetUserData2,,GPROC32,eu3minimap.obj,0x008995E0,pdb=ck2game.pdb (2.6.1.1; EXE-matched);len=16
frontend_gui,CButton::GetUserDataInt2,,GPROC32,eu3minimap.obj,0x008995F0,pdb=ck2game.pdb (2.6.1.1; EXE-matched);len=7
frontend_gui,CButton::GetUserDataVoid2,,GPROC32,eu3minimap.obj,0x008995F0,pdb=ck2game.pdb (2.6.1.1; EXE-matched);len=7
frontend_gui,CButton::OnClick,,GPROC32,eu3minimap.obj,0x00DAD8C0,pdb=ck2game.pdb (2.6.1.1; EXE-matched);len=1
frontend_gui,CButton::GetFont,,GPROC32,eu3minimap.obj,0x00D38D00,pdb=ck2game.pdb (2.6.1.1; EXE-matched);len=3
frontend_gui,CButton::SetText,,GPROC32,eu3minimap.obj,0x0056E300,pdb=ck2game.pdb (2.6.1.1; EXE-matched);len=3
frontend_gui,TButton::GetScale,,GPROC32,eu3minimap.obj,0x00D3A290,pdb=ck2game.pdb (2.6.1.1; EXE-matched);len=3
frontend_gui,TButton::SetAlpha,,GPROC32,eu3minimap.obj,0x00B384F0,pdb=ck2game.pdb (2.6.1.1; EXE-matched);len=3
frontend_gui,TButton::GetString,,GPROC32,eu3minimap.obj,0x008995D0,pdb=ck2game.pdb (2.6.1.1; EXE-matched);len=6
frontend_gui,TButton::GetSpriteName,,GPROC32,eu3minimap.obj,0x008995D0,pdb=ck2game.pdb (2.6.1.1; EXE-matched);len=6
frontend_gui,TButton::SetCharAsPritorityShortCut,,GPROC32,eu3minimap.obj,0x00B384F0,pdb=ck2game.pdb (2.6.1.1; EXE-matched);len=3
